contrast,collection,pathway,NES,pval,padj,size,leadingEdge
LumB_vs_GTEx,Hallmark,HALLMARK_APICAL_JUNCTION,-1.46394656321372,0.00332526059636942,0.0125394485587572,163,CLDN5;CLDN15;VWF;ICAM2;PKD1;MAPK11;CD34;CX3CL1;RRAS;CLDN11;CADM3;GNAI1;ITGA10;TSPAN4;SORBS3;EPB41L2;TRO;ZYX;MYL9;NLGN2;BMP1;ACTG2;NEXN;PECAM1;SIRPA;FLNC;COL16A1;ACTC1;CALB2;STX4;AKT3;CLDN18;MADCAM1;NRAP;CDH6;MPZL2;CD209;THBS3;TRAF1;ITGA9;TSC1;NHERF4;ACTA1;NRXN2;ADRA1B;NLGN3;LAMA3;LIMA1;SLIT2;LAYN;MMP2;CD99;LAMB3;COL9A1;NEGR1;PBX2;MVD;ACTN1;MSN;TJP1;DSC3;CDH4;PARVA;TIAL1;ITGB4;NFASC
LumB_vs_GTEx,KEGG_Legacy,KEGG_BASE_EXCISION_REPAIR,1.72768688730958,0.00354454073023524,0.0127012709500096,28,NEIL3;PCNA;FEN1;POLE2;APEX2;UNG;SMUG1;LIG1;APEX1;LIG3;POLD3;TDG;HMGB1;XRCC1;NTHL1;MBD4
LumB_vs_GTEx,KEGG_Legacy,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,-1.67477785737236,0.00349328804820437,0.0127012709500096,57,ACACB;SLC2A4;LEPR;POMC;RXRB;PCK1;TNFRSF1B;CD36;LEP;PPARGC1A;PPARA;ACSL1;NPY;TRADD;AKT3;ADIPOQ;RXRG;ACSL5;PRKAG2;PRKAA1;ACSL4;CPT1B;NFKBIA;JAK2;SOCS3;STK11;RELA
LumB_vs_GTEx,KEGG_Legacy,KEGG_JAK_STAT_SIGNALING_PATHWAY,-1.53413540931914,0.00383188907552311,0.013288002439314,123,SPRY2;IL11RA;SPRY1;TPO;LIFR;LEPR;IL3RA;TSLP;STAT5A;IL15RA;TYK2;GH1;CNTFR;LEP;CSF3;CBLB;STAT5B;IFNGR1;PIM1;PRL;SPRY3;AKT3;CCND3;OSMR;IL20RB;IL4R;CCND2;PIK3R1;STAT4;JAK2;IL15;SOCS3;JAK3;MPL;STAT2;SOCS1;CTF1
LumB_vs_GTEx,KEGG_Legacy,KEGG_FOCAL_ADHESION,-1.47401014040534,0.0038087261507982,0.013288002439314,165,ITGA7;FLT4;CAV1;VWF;CAV2;VEGFD;IGF1;MYL2;SHC2;FYN;LAMA2;ITGA10;LAMB1;RELN;PAK3;LAMB2;TLN1;JUN;ZYX;MYL9;PXN;FLNC;COL5A3;KDR;PDGFRB;PDGFRA;CAV3;ITGA5;PRKCA;LAMA4;AKT3;FLNA;COL6A6;CCND3;MET;SHC3;ITGB3;MYLK;LAMC1;ITGA6;CCND2;PDGFD;PIK3R1;TLN2;THBS3;PGF;COL4A6;MYL5;VEGFA;LAMA1;LAMC3;COL6A2;ITGA9;HGF;MYL7;ILK;COL4A4;LAMA3;CAPN2;VEGFB;PARVB;BCAR1;LAMB3;COL6A1;ROCK1;LAMB4;PIK3CD;PAK5;MAPK10
LumB_vs_GTEx,Hallmark,HALLMARK_COAGULATION,-1.50244618850995,0.00440491802089865,0.0148664386294794,116,RAPGEF3;GSN;CFD;MAFF;VWF;F3;F10;ANXA1;LRP1;FYN;PROS1;SERPING1;RGN;MASP2;C1R;BMP1;C1S;MST1;DCT;CFI;PECAM1;GP9;THBD;CFH;C3;KLF7;ITGB3;PF4;KLKB1;A2M;CAPN5;SIRT2;ITIH1;CSRP1;LEFTY2;ANG;C9;DPP4;CAPN2;TIMP3;MMP2;DUSP6;GDA;F11;C8A;KLK8
LumB_vs_GTEx,Hallmark,HALLMARK_XENOBIOTIC_METABOLISM,-1.45775973107734,0.004425358475752,0.0148664386294794,153,LCAT;ATOH8;REG1A;SLC12A4;PDK4;ETS2;F10;CDO1;EPHA2;UPP1;AOX1;IGF1;FABP1;MAOA;PROS1;CSAD;CRP;RBP4;ITIH4;CD36;AKR1C2;PEMT;CYP1A1;ALDH3A1;PTGDS;IL1R1;ABCD2;CES1;ARG1;CYP2E1;FBLN1;AP4B1;MT2A;CYP17A1;LEAP2;PINK1;FMO3;HSD11B1;PC;ABCC2;ABHD6;ALDH2;ENPEP;FAS;PMM1;ITIH1;ETFDH;HGFAC;POR;ADH5;FETUB;ABCC3;BCAR1;F11;UPB1;CYP1A2;HSD17B2
LumB_vs_GTEx,KEGG_Legacy,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,-1.50764814138911,0.00479931551507488,0.0158746590114015,67,LCAT;PLPP3;CHKB;PLPP1;TAFAZZIN;JMJD7-PLA2G4B;LPCAT4;PLA2G4B;GPD1;PLD2;PEMT;ADPRM;AGPAT4;GPAT2;PLA2G2A;DGKG;GPAM;PLA2G4A;PLD1;GPAT3;DGKA;PGS1;DGKB;DGKH;LPCAT2;PHOSPHO1;PLA2G1B;DGKD;CHKA;PTDSS2
LumB_vs_GTEx,KEGG_Legacy,KEGG_GLYCEROLIPID_METABOLISM,-1.61248912242926,0.00584979219735831,0.0190561412489703,43,PLPP3;PLPP1;GLYCTK;PNLIPRP1;PNLIP;LPL;LIPF;AGPAT4;GPAT2;DGKG;GPAM;AKR1B1;GPAT3;MGLL;ALDH2;DGKA;DGKB;GK2;DGKH;DGAT2;DGKD
LumB_vs_GTEx,Hallmark,HALLMARK_SPERMATOGENESIS,1.49754461925754,0.00695002685227068,0.0223023249737044,106,BUB1;NEK2;CCNB2;TTK;CDK1;NCAPH;KIF2C;CDKN3;STRBP;EZH2;DBF4;TSN;GRM8;RFC4;CNIH2;MAP7;MLF1;CLGN;IDE;HSPA1L;CLPB;RAD17;VDAC3
LumB_vs_GTEx,KEGG_Legacy,KEGG_P53_SIGNALING_PATHWAY,1.52268450451689,0.00886469563459866,0.0280280817858634,59,CCNB2;RRM2;CDK1;GTSE1;CHEK1;CCNE2;CASP3;PMAIP1;CCNE1;COP1;CYCS;RRM2B;CCND1;CDK4;MDM2;CHEK2;EI24;BAX;SFN
LumB_vs_GTEx,KEGG_Legacy,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,1.54671691511573,0.0121377672728645,0.0378205791835632,45,TUBA1C;EZR;YWHAZ;TUBA1B;OCLN;TUBB4B;CDC42;CDH1;NCL;ACTG1;TUBB3;ARPC5;YWHAQ;WASL;ARPC5L;TUBAL3;TUBA1A
LumB_vs_GTEx,Hallmark,HALLMARK_PEROXISOME,1.45603281516919,0.0134674675613792,0.0413643646528076,79,TOP2A;MSH2;RDH11;PRDX1;CDK7;IDH2;CRABP2;SLC25A17;PEX11B;DHCR24;NUDT19;PEX2;PABPC1;SMARCC1;IDE;SLC35B2;GNPAT;ABCD3;SLC27A2;SOD1;BCL10;SULT2B1;DIO1;VPS4B;SEMA3C;CTPS1;CADM1
LumB_vs_GTEx,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.37435688860972,0.014630539257706,0.0443037456395321,163,PTX3;FBLN5;FGF2;LRP1;MSX1;LAMA2;VIM;DST;FSTL3;GADD45B;NNMT;IGFBP3;TPM2;TGFBR3;JUN;MYL9;BMP1;CCN1;GAS1;ELN;COL5A3;SAT1;MATN2;COL16A1;PDGFRB;FBLN1;DCN;ITGA5;ABI3BP;FLNA;ACTA2;ITGB3;MYLK;LAMC1;DAB2;ECM2;FBLN2;CDH6;CXCL1;ANPEP;FOXC2;GEM;IL15;FAS;VEGFA;LAMA1;COL6A2;PMP22;TPM1;PCOLCE;SNAI2;TNFAIP3;FSTL1;LAMA3;SLIT2;TIMP3;MMP2
LumB_vs_GTEx,KEGG_Legacy,KEGG_RIBOSOME,-1.42190873622663,0.0151091520769114,0.0451176068963325,67,RPS4Y1;RPL13;RPL21;RPL34;RPS28;RPL11;RPL41;RPS15;RPL5;RPS9;RPL17;RPL18A;RPS23;RPLP2;RPL26;RPL31;RPS8;RPL35;RPL37A;RPL9;RPS12;RPL10;RPL13A;RPL4;RPL3;RPL10A;FAU;RPL22;RPS10;RPL18;RPS20;RPS11;RPS3A;RPS7;RPL32;RPL23
LumB_vs_GTEx,KEGG_Legacy,KEGG_BASAL_CELL_CARCINOMA,-1.5363672849644,0.0165690796661503,0.0487993442222234,45,BMP2;WNT2B;TCF7L1;WNT11;PTCH2;TCF7L2;FZD4;PTCH1;GLI1;FZD9;DVL1;DVL2;GLI2;HHIP;STK36;WNT9B;FZD10;WNT10B;WNT1;BMP4;WNT5B;FZD5;AXIN2;WNT16;DVL3
LumB_vs_GTEx,KEGG_Legacy,KEGG_PURINE_METABOLISM,1.37259199126794,0.0192737811952442,0.0559981480672637,135,RRM2;PAICS;GMPS;RRM1;HPRT1;CANT1;PPAT;ATIC;PRIM1;PRUNE1;POLE2;POLR2K;POLR1B;PRPS2;DCK;NUDT5;POLA2;PKM;RRM2B;POLR3B;POLR2G;POLA1;ADK;NME1-NME2;NME7;ADSS2;NME6;PNPT1;NME4;PAPSS1;POLR3A;POLR2H;NT5C3A;POLR3H;POLR1H;NME2;POLD3;PDE6G;POLR2J;POLR3F;AK2;ENTPD8;NUDT9;POLR1A
LumB_vs_GTEx,KEGG_Legacy,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1.50740965526836,0.0202135277519247,0.0579454462221841,41,GNPNAT1;GNPDA1;NANS;NANP;UGDH;GFUS;GALE;CYB5R1;HK1;GFPT1;UXS1;PMM2;FPGT;CMAS;MPI;PGM2;HK2;GMPPA;GMDS;NAGK;GPI;HEXB;NPL
