contrast,collection,pathway,NES,pval,padj,size,leadingEdge
LumA_vs_GTEx,Hallmark,HALLMARK_APOPTOSIS,1.17576589863898,0.140298507462687,0.276735588114474,116,TOP2A;DAP3;PPT1;PSEN1;PMAIP1;ERBB3;DNAJA1;XIAP;DIABLO;CASP3;BGN;BRCA1;F2R;BCL10;CCND1;PAK1;FASLG;RARA;LUM;DFFA;IL1A;BAX;CTNNB1;TNF;FDXR;IL18;CASP2;TNFSF10;PDCD4;H1-0;PPP3R1;HMOX1;SOD1;APP;BCL2L11;PLAT;NEFH;VDAC2;WEE1;ETF1;ANKH;GUCY2D;CASP8;TGFB2;CYLD;BCAP31;CASP7
LumA_vs_GTEx,KEGG_Legacy,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,-1.27465116599984,0.145238095238095,0.282923372811013,21,AOX1;NADK;NNMT;NMNAT2;NT5C;BST1;NAMPT;NT5C2;NT5E;NMRK1
LumA_vs_GTEx,KEGG_Legacy,KEGG_ARGININE_AND_PROLINE_METABOLISM,1.21654700680184,0.146067415730337,0.282923372811013,47,ALDH18A1;SMS;AGMAT;P4HA3;GOT2;ALDH1B1;GOT1;PYCR3;P4HA2;GLUD1;P4HA1;ALDH7A1;AOC1;PYCR2;AZIN2;OAT;CKMT1B;GLS2
LumA_vs_GTEx,KEGG_Legacy,KEGG_GLUTATHIONE_METABOLISM,1.24016547321498,0.148208469055375,0.284507328990228,38,RRM2;SMS;RRM1;IDH2;TXNDC12;GGCT;RRM2B;GSTO2;GSS
LumA_vs_GTEx,KEGG_Legacy,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,1.26032348802068,0.15025041736227,0.285874687901665,30,SORD;FBP1;HK1;FPGT;GFUS;ALDOA;MPI;GMDS;PMM2;TPI1;HK2;GMPPA;MTMR1;PFKFB2;MTMR6
LumA_vs_GTEx,KEGG_Legacy,KEGG_INSULIN_SIGNALING_PATHWAY,-1.14271441231107,0.152238805970149,0.287117046347211,112,TRIP10;ACACB;PYGM;SLC2A4;INS;MKNK1;LIPE;FOXO1;GYS2;CBLB;SORBS1;PHKA2;SHC2;PCK1;RHOQ;INPP5K;SHC3;PPARGC1A;PPP1R3A;PDE3B;GCK;PRKAG2;TSC1;TSC2;SOCS1;PRKAA1;AKT3;PDE3A;INPP5D
LumA_vs_GTEx,Hallmark,HALLMARK_ANGIOGENESIS,-1.21970935091244,0.157894736842105,0.290148448043185,32,MSX1;LPL;KCNJ8;APOH;PRG2;PGLYRP1;JAG2;JAG1;FGFR1;VEGFA;S100A4;PF4;SLCO2A1;THBD;CCND2;VTN;NRP1
LumA_vs_GTEx,KEGG_Legacy,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.1729230814613,0.157814871016692,0.290148448043185,99,PIK3R2;PSEN1;CDC42;MAGED1;YWHAZ;GRB2;YWHAB;NFKBIE;RAC1;MAPK13;YWHAE;MAPK9;GSK3B;CALM2;MAPKAPK2;KRAS;NRAS;FASLG;YWHAQ;CRKL;ARHGDIB;CALM3;RIPK2;PRKCD;MAPK1;BAX;BCL2;CAMK4;PIK3CG;MAP3K1;YWHAG;PDPK1
LumA_vs_GTEx,KEGG_Legacy,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,1.15363462210432,0.156204379562044,0.290148448043185,167,IQGAP3;DIAPH3;EZR;PIK3R2;FN1;CDC42;PPP1CA;FGD3;CFL1;PIP4K2C;ACTG1;RAC1;F2R;PAK2;SLC9A1;LIMK1;ARPC5;KRAS;ARHGAP35;PAK1;ITGA2;VAV2;NRAS;PAK4;MYL12B;WASL;RAC2;CRKL;GNA13;SCIN;MAPK1;ITGAL;PFN2;IQGAP2;ITGAV;CYFIP1;PPP1CC;ARHGEF12;PPP1CB;ITGB6;DIAPH1;APC;PIK3CG;PIP5K1A;CYFIP2;ITGB2;ARPC5L;PIK3R3;PFN1;MYLK2;ITGB5;BAIAP2;VAV1;FGD1;RHOA;MYH14;FGFR3;ITGB1;ITGAD;TIAM1;PIP4K2A;RAC3;NCKAP1;NCKAP1L;SOS2;FGF3
LumA_vs_GTEx,KEGG_Legacy,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,1.23800270752755,0.164179104477612,0.299139893751581,32,EPRS1;BLVRA;HCCS;UROS;UGT2B11;HMOX1;HMBS;COX15;FECH;COX10;GUSB;HMOX2;ALAD;UGT2B28;UGT2B10;BLVRB
