contrast,collection,pathway,NES,pval,padj,size,leadingEdge
Basal_vs_NAT,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.32052223727004,0.0318021201413428,0.0759717314487632,163,ECM2;DST;MATN2;DCN;TGFBR3;LAMA2;LRP1;SGCG;ABI3BP;FMOD;SLIT2;OXTR;FGF2;TIMP3;MYLK;ACTA2;MYL9;LAMA3;FBLN5;MSX1;JUN;CCN1;MEST;GEM;PMP22;HTRA1;CDH6;FSTL1;SGCD;DAB2;PDGFRB;FSTL3;VIM;TFPI2;FBLN1;MFAP5;FUCA1;ITGB3;GAS1;SFRP4;BDNF;ANPEP;SGCB;NT5E;ITGB5;SNAI2;TPM2;AREG;FBN1;IGFBP2;FBLN2;MMP2;NNMT;MGP;GADD45B;TPM1;CAP2;PCOLCE;NTM;MAGEE1;ITGA2;DPYSL3;LAMC1;ITGB1;COL16A1
Basal_vs_NAT,KEGG_Legacy,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,1.4168274907249,0.0328004358554779,0.0774955352629424,41,GFUS;GMDS;PMM2;GPI;CMAS;GALE;UXS1;GALK1;NAGK;NANS;UAP1;NANP;GMPPA;PGM2;CHIA;NPL;PGM3
Basal_vs_NAT,KEGG_Legacy,KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,-1.5174341270092,0.0346430483028066,0.0803116411857307,21,ATP1A2;CA4;AQP1;ATP1B2;PCK1;GLUD1;SLC4A4;GLS2
Basal_vs_NAT,Hallmark,HALLMARK_APOPTOSIS,-1.33579943157026,0.0347394540942928,0.0803116411857307,116,CAV1;GSN;EGR3;RETSAT;DCN;TGFBR3;FEZ1;BCL2L2;TIMP3;ANXA1;PLAT;HGF;DPYD;JUN;NEDD9;AVPR1A;EMP1;BNIP3L;CCND2;SC5D;ATF3;PDGFRB;LGALS3;GPX4;BMP2;PLPPR4;IFNGR1;TIMP2;RARA;PDCD4;SATB1;TNFSF10;CDKN1A;MADD;MMP2;MGMT;GADD45B;CREBBP;CASP4;CASP7;CASP9;ROCK1;ETF1;GUCY2D;PPP2R5B;CCND1;CD69;WEE1;SMAD7;SPTAN1;XIAP;CASP1;FAS
Basal_vs_NAT,KEGG_Legacy,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,1.46323270511989,0.0362330641615223,0.0828734978162478,42,CXCL10;IKBKE;NFKBIB;POLR3G;IFNA10;AIM2;ADAR;IL18;POLR3C;POLR3D;IRF7;ZBP1;IRF3;CCL5;IFNA4;RIGI
Basal_vs_NAT,KEGG_Legacy,KEGG_HEDGEHOG_SIGNALING_PATHWAY,-1.39432051492504,0.0387931034482759,0.0877949183303085,44,BMP4;GLI3;PTCH2;WNT9B;HHIP;BMP5;BMP2;GAS1;GLI1;CSNK1G3;WNT11;GLI2;BTRC;WNT2B;CSNK1A1L;PTCH1;WNT10B;STK36;LRP2;SUFU;WNT5B;WNT3;PRKACB;WNT1;PRKACA
Basal_vs_NAT,KEGG_Legacy,KEGG_LINOLEIC_ACID_METABOLISM,-1.43172323059027,0.0405405405405405,0.088042588042588,24,CYP3A4;CYP3A5;JMJD7-PLA2G4B;CYP3A43;PLA2G4B;PLA2G2A;CYP2E1;CYP3A7;PLA2G4A;PLA2G2C;ALOX15;CYP1A2;AKR1B10;CYP2C9;CYP2C18;PLA2G12B;CYP2C19;PLA2G10;PLA2G1B
Basal_vs_NAT,KEGG_Legacy,KEGG_GLYCEROLIPID_METABOLISM,-1.42061264587929,0.0401936461414503,0.088042588042588,43,PLPP1;GPAM;PLPP3;MGLL;LPL;ALDH2;GLYCTK;ALDH3A2;LIPC;DGKB;DGKD;GPAT2;DGKI;GPAT3;DGAT2;LIPF;ALDH9A1;DGAT1;ALDH7A1;DGKE
Basal_vs_NAT,KEGG_Legacy,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,-1.40420452906273,0.0394908501981446,0.088042588042588,67,PLPP1;GPAM;PLPP3;GPD1;GPD1L;ADPRM;JMJD7-PLA2G4B;LCAT;PISD;DGKB;PEMT;CHKB;LPCAT2;LPCAT4;PLA2G4B;PHOSPHO1;DGKD;PLA2G2A;GPAT2;DGKI;GPAT3;PLA2G4A;PLA2G2C;PLD2;CHPT1
Basal_vs_NAT,Hallmark,HALLMARK_ANDROGEN_RESPONSE,-1.38374623889163,0.0399032643848136,0.088042588042588,83,PLPP1;LIFR;AKAP12;GPD1L;INPP4B;ARID5B;MAF;PTPN21;STEAP4;CDC14B;ADAMTS1;KLK3;IQGAP2;NCOA4;SPDEF;AZGP1;ELL2;KLK2;MERTK;ALDH1A3;MAK;SCD;APPBP2;GUCY1A1;RPS6KA3;TNFAIP8;CAMKK2;PIAS1;STK39;NKX3-1;CCND1;CCND3;FKBP5;HERC3;DNAJB9
Basal_vs_NAT,KEGG_Legacy,KEGG_O_GLYCAN_BIOSYNTHESIS,-1.45619802782802,0.0422322775263952,0.089504750293641,22,GALNT15;GCNT4;GALNT16;GALNT8;GALNT10;GALNT17;GALNTL6;GALNT4;GALNT11;GALNT12;ST3GAL2;GALNT7
Basal_vs_NAT,KEGG_Legacy,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,-1.4392512344035,0.0428790199081164,0.089504750293641,19,ALDH2;UGT2B11;UGT2B28;ALDH3A2;UGT2B4;UGDH;ALDH9A1;UGT1A7;ALDH7A1;UGT2B10;UGT2B17
Basal_vs_NAT,KEGG_Legacy,KEGG_STARCH_AND_SUCROSE_METABOLISM,-1.42007990810532,0.0421511627906977,0.089504750293641,39,PYGM;UGT2B11;UGT2B28;TREH;ENPP3;UGT2B4;GYS2;GBE1;GCK;G6PC2;PYGL;GANC;UGP2
Basal_vs_NAT,KEGG_Legacy,KEGG_AXON_GUIDANCE,-1.33088848055365,0.0426065162907268,0.089504750293641,105,SEMA3G;ABLIM3;SEMA6D;SEMA3C;NTN4;SLIT2;CFL2;PPP3CB;SEMA3B;SEMA3D;GNAI1;SEMA6A;ABLIM1;SEMA3A;SEMA3E;NRP1;DPYSL2;UNC5C;PAK3;PPP3CC;NFATC2;PAK5;ARHGEF12;SEMA6B;LRRC4C;RASA1;EFNB3;ABL1;NFAT5;GNAI2;EPHB1;EFNB2;EPHA4;EPHA5;RND1;FES;EPHA2;FYN;ROBO2;NFATC4;ITGB1;ROCK1;RHOA;MET;SEMA6C
Basal_vs_NAT,KEGG_Legacy,KEGG_LONG_TERM_DEPRESSION,-1.37780367455205,0.0447154471544715,0.0924405878674171,59,IGF1;ITPR1;GRIA1;PRKG1;GNAI1;PPP2R1B;JMJD7-PLA2G4B;GNA11;NOS1;GRIA3;GNAI2;IGF1R;PLA2G4B;PLA2G2A;PRKG2;PLA2G4A;GUCY1A1;ITPR2;PLA2G2C;PRKCA;PPP1R17;CRH;GNAZ;GRIA2;GRM1;GNAO1;PPP2CA;GRID2
Basal_vs_NAT,KEGG_Legacy,KEGG_PROTEIN_EXPORT,1.4474829902278,0.0456808319432096,0.0933144358999288,22,SEC61G;SEC61A1;SRPRB;HSPA5;SRP9;SEC61A2;SEC61B;SEC63;SEC11C;SPCS2;SRP72;SRP19
Basal_vs_NAT,KEGG_Legacy,KEGG_PARKINSONS_DISEASE,1.24401361283316,0.0460061870018254,0.0933144358999288,98,UQCRH;ATP5F1C;CYCS;NDUFA9;NDUFB9;UQCRHL;CYC1;SLC25A5;CASP3;NDUFS2;SDHC;NDUFAB1;NDUFS6;NDUFB3;NDUFB2;UBA1;GPR37;VDAC3;COX7B;UCHL1;NDUFS3;COX7A2;NDUFA6;COX5B;ATP5MC3;NDUFA7;COX6A1;ATP5MC1;NDUFA1;NDUFB4;NDUFA8;HTRA2;UBE2L6;COX7B2;NDUFB6;UBE2J2;SLC18A1;UBE2L3
Basal_vs_NAT,KEGG_Legacy,KEGG_BETA_ALANINE_METABOLISM,-1.4296060599791,0.0507692307692308,0.101068376068376,20,AOC2;ALDH2;DPYD;MLYCD;ABAT;ALDH3A2;HIBCH;EHHADH;ACADM;ECHS1
Basal_vs_NAT,KEGG_Legacy,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,1.40566119215955,0.0505798148888092,0.101068376068376,29,DNMT1;IL4I1;SMS;DNMT3A;SDS;CBS;AHCY;SRM;AMD1;GOT1;LDHA;DNMT3L
Basal_vs_NAT,KEGG_Legacy,KEGG_BASAL_CELL_CARCINOMA,-1.36622913496698,0.0544412607449857,0.105449288830378,45,FZD4;AXIN2;BMP4;GLI3;PTCH2;WNT9B;HHIP;BMP2;APC;GLI1;WNT11;GLI2;TCF7L2;WNT2B;FZD5;PTCH1;WNT10B;STK36;SUFU;WNT5B;FZD10;WNT3;FZD8
