contrast,collection,pathway,NES,pval,padj,size,leadingEdge
Her2_vs_GTEx,KEGG_Legacy,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,1.19694914972275,0.128205128205128,0.235590620206005,89,PIK3R2;GSK3B;CDC42;GRB2;NFKBIE;PAK4;MAPK13;PPP3R1;PAK2;CDK4;MAPK9;ICOS;VAV2;CD3G;KRAS;BCL10;MAPK1;CD3D;AKT1;CD3E;IFNG;PTPN6;CSF2;PAK1;CD4;PIK3R3;VAV1;TNF;PIK3CG;CD8A;NRAS;LCK
Her2_vs_GTEx,Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1.20605209029068,0.129675810473815,0.236273722473477,56,MAL2;SQLE;TMEM97;TRIB3;S100A11;CYP51A1;DHCR7;CD9;HMGCR;ACTG1;HMGCS1;PLAUR;PDK3;FDPS;MVK;IDI1;PMVK;NSDHL;GPX8;CXCL16;SCD;TP53INP1;GUSB;FDFT1
Her2_vs_GTEx,Hallmark,HALLMARK_BILE_ACID_METABOLISM,-1.19713969692671,0.136942675159236,0.247417438312905,85,ABCA9;ABCA6;ABCA8;ABCA5;LIPE;CYP7A1;EFHC1;MLYCD;ALDH1A1;NR3C2;ABCD2;TFCP2L1;GC;RXRG;APOA1;ABCA1;SLC23A2;OPTN;SLC29A1;CH25H;ABCG4;SOAT2;EPHX2;PEX1;ALDH8A1;TTR;GSTK1;NPC1;ACSL1;ACSL5;HSD17B4;CYP8B1;CYP39A1;NR1I2;PECR;SERPINA6;PFKM;AGXT;RXRA;PEX11G
Her2_vs_GTEx,KEGG_Legacy,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,1.26492565009915,0.142857142857143,0.255952380952381,29,SMS;IL4I1;GOT1;AHCY;SDS;GOT2;LDHA;DNMT3A
Her2_vs_GTEx,KEGG_Legacy,KEGG_PATHWAYS_IN_CANCER,-1.12850873109623,0.15,0.266528925619835,266,WNT2B;BMP2;PPARG;VEGFD;RXRB;FGF2;FGF17;ZBTB16;STAT5B;LAMB2;PTCH2;RASSF1;TGFBR2;FOXO1;STAT5A;IGF1;LAMA2;PML;WNT11;RUNX1T1;TCF7L1;FLT3LG;MYC;STK36;DVL2;MECOM;FGF22;LAMB1;FGFR1;FGF7;DAPK2;FGF10;LAMA3;TCF7L2;JUN;NFKBIA;PDGFRB;SMAD3;DVL1;FZD4;GLI1;RXRG;CBLB;AKT3;HGF;PTCH1;AXIN2;LAMA4;LAMC1;FGF8;BCL2;VEGFB;RELA;COL4A6;CEBPA;PDGFRA;CTNNA3;KIT;CDKN1A;FOS;PGF;ETS1;NTRK1;KLK3;MITF;LAMC3;BRAF;TRAF1;ITGA2B;HHIP;PRKCA;CSF3R;ABL1;RAF1;FAS;WNT3;ITGA6;FZD9;GLI2;PLD1;DVL3;LAMA1;WNT9B;WNT10B;ARNT;PTGS2
Her2_vs_GTEx,KEGG_Legacy,KEGG_SELENOAMINO_ACID_METABOLISM,1.29632385571854,0.152619589977221,0.26781050347571,20,AHCY;LCMT2;MARS2;GGT1;SEPHS1;METTL6;BUD23
Her2_vs_GTEx,KEGG_Legacy,KEGG_CARDIAC_MUSCLE_CONTRACTION,-1.18845925459829,0.153212520593081,0.26781050347571,60,ATP1A2;MYH7;ATP1B2;CACNB2;MYL2;COX7A1;MYH6;MT-CYB;CACNA2D4;CACNB1;TPM2;ACTC1;MT-CO3;CACNA1F;RYR2;CACNA2D3;MT-CO2;CACNA2D1;UQCRHL
Her2_vs_GTEx,KEGG_Legacy,KEGG_PENTOSE_PHOSPHATE_PATHWAY,1.26983822423111,0.157772621809745,0.271368909512761,22,G6PD;PRPS2;GPI;ALDOA;RPE;PGD;FBP1;DERA;PGM2;RPEL1;PFKP;RBKS
Her2_vs_GTEx,KEGG_Legacy,KEGG_STEROID_HORMONE_BIOSYNTHESIS,-1.20273140018178,0.157618213660245,0.271368909512761,46,CYP11B1;CYP3A5;AKR1C1;CYP3A7;HSD17B3;CYP1A1;CYP17A1;CYP7A1;CYP3A4;CYP11A1;AKR1C2;CYP3A43;HSD3B2;HSD11B1;CYP11B2;CYP19A1
Her2_vs_GTEx,KEGG_Legacy,KEGG_TYROSINE_METABOLISM,-1.21787212432814,0.164335664335664,0.278164808917197,34,TPO;AOX1;MAOA;ADH1A;ADH4;ADH1B;AOC2;NAA80;DCT;ALDH3A1;ADH6;ADH5;MAOB;TRMT11
Her2_vs_GTEx,KEGG_Legacy,KEGG_TGF_BETA_SIGNALING_PATHWAY,-1.18417633428401,0.163987138263666,0.278164808917197,70,ACVRL1;BMP2;TGFBR2;ID4;E2F4;MYC;CHRD;ID3;GDF5;THBS3;SMAD6;ACVR1C;SMAD3;BMP5;RBL2;NODAL;DCN;SMAD7;ROCK1;GDF7;LEFTY2;SMURF1;INHBB;ACVR2A;THBS4;FST
Her2_vs_GTEx,Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.11148552930051,0.165605095541401,0.278164808917197,158,NHERF1;SLC37A1;CANT1;KRT8;OPN3;ISG20L2;LAD1;SLC1A4;DHCR7;FRK;FKBP4;XBP1;CLDN7;TTC39A;TJP3;WWC1;RET;TBC1D30;ESRP2;KRT19;MUC1;OVOL2;SYT12;SULT2B1;TFF1;AR;B4GALT1;SLC2A1;SFN;MYB;PPIF;TFF3;CLIC3;TFAP2C;SLC27A2;ZNF185;MSMB;RHOD;TOB1;SLC39A6;FDFT1;RRP12;RAB17;CA12;MLPH;TMEM164;TIAM1;SIAH2;AQP3;DHRS2;PMAIP1;CCND1;BLVRB;AMFR;ELF3;TGIF2;TMPRSS3;SLC22A5;PRSS23
Her2_vs_GTEx,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.12092919983265,0.17956204379562,0.299270072992701,163,PTX3;FGF2;TGFBR3;MSX1;LAMA2;FBLN5;LRP1;DST;FSTL3;VIM;GADD45B;ELN;LAMA3;MYL9;TPM2;COL16A1;JUN;CCN1;PDGFRB;COL5A3;ANPEP;NNMT;IGFBP3;PMP22;MATN2;BMP1;DCN;GAS1;TIMP3;GEM;FBLN1;ECM2;ITGB3;CDH6;LAMC1;ABI3BP;ITGA5;SGCG;DAB2;FOXC2;PRSS2;ACTA2;BDNF;MYLK;FLNA;IL15;SLIT2;SGCB;FAS;COL6A2;LAMA1;FBLN2;SAT1;PCOLCE;SNAI2;TPM1;MGP;FSTL1;TNFAIP3;CD59;LGALS1;TFPI2;FMOD;VEGFA;AREG;GPC1
Her2_vs_GTEx,KEGG_Legacy,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,1.17210517477083,0.184579439252336,0.305265995686556,42,CXCL10;POLR3B;CCL5;CCL4L2;IKBKE;RIGI;ADAR;POLR3H;IL18;AIM2;POLR3A
Her2_vs_GTEx,KEGG_Legacy,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,1.22098069513473,0.187951807228916,0.305683288288865,30,SORD;GFUS;GMDS;TPI1;ALDOA;PMM2;HK1;HK2;GMPPA;AKR1B10;FBP1;PFKFB2;FPGT
Her2_vs_GTEx,KEGG_Legacy,KEGG_ETHER_LIPID_METABOLISM,-1.20613278343855,0.189097103918228,0.305683288288865,30,PLPP1;JMJD7-PLA2G4B;LPCAT4;PLPP3;PLA2G4B;ENPP2;PLD2;PLA2G4A;CHPT1;PLA2G1B;PLA2G2A;LPCAT2;PLD1;ENPP6
Her2_vs_GTEx,KEGG_Legacy,KEGG_TIGHT_JUNCTION,-1.14031924953128,0.186363636363636,0.305683288288865,114,CLDN5;CLDN15;MYH3;MYL5;MYH7;TJAP1;JAM2;MYH7B;MYH11;MYH1;CLDN11;MYL2;EPB41L2;MYH6;RRAS;MRAS;YBX3;MYL9;MAGI1;GNAI1;MYH2;CLDN18;AKT3;SPTAN1;AFDN;PRKCE;CTNNA3;MAGI2
Her2_vs_GTEx,KEGG_Legacy,KEGG_ACUTE_MYELOID_LEUKEMIA,-1.17781779340855,0.194395796847636,0.311903703897326,46,ZBTB16;STAT5B;STAT5A;PML;RUNX1T1;TCF7L1;MYC;TCF7L2;PIM1;AKT3;RELA;CEBPA;KIT;BRAF;RAF1
Her2_vs_GTEx,KEGG_Legacy,KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION,-1.20881375502974,0.206239168110919,0.328454971435907,21,CA4;ATP1A2;AQP1;ATP1B2;PCK1;SLC9A3
