"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic","negLog10Padj","Regulation"
"NKAPL",-2.54491189344289,0.673456784865065,-28.3934680973639,4.76800568516052e-99,1.74798494136331e-96,215.456809691444,95.7574623130695,"Down"
"LOC728264",-3.7547342398656,1.55939469118866,-28.3210513019544,9.5704873414109e-99,3.44705447577484e-96,214.762161088495,95.4625518531335,"Down"
"PAMR1",-3.71045525142126,0.818096768634448,-28.300519395463,1.16620067480132e-98,4.12794825063295e-96,214.565105762012,95.3842657558105,"Down"
"METTL7A",-2.05033635216889,-0.0968293510456156,-28.21952174349,2.54449755348241e-98,8.85398894457524e-96,213.78727524234,95.0528610246333,"Down"
"ATOH8",-3.90532477263378,-1.35215964391637,-28.1900354013784,3.38085491930846e-98,1.15681585822338e-95,213.503934730811,94.9367357664779,"Down"
"PRRG3",-2.73221513524434,0.40551422914359,-28.1650948240691,4.29987154469757e-98,1.44715348873182e-95,213.264200820099,94.8394854040751,"Down"
"FAM107A",-4.07946653758164,-0.850716498652665,-28.1615941576181,4.44749549962515e-98,1.47269488076297e-95,213.23054623368,94.8318872228296,"Down"
"PDE2A",-3.18072442352002,0.742756305028669,-27.9393906271068,3.80048559480585e-97,1.23847570256133e-94,211.091592109386,93.9071125093422,"Down"
"LIFR",-2.61313106260635,0.974942787196284,-27.9187514876586,4.63979674429474e-97,1.4883597993808e-94,210.89264489237,93.8272920687922,"Down"
"INHBA",3.56878756674264,1.41438858680801,27.8963997057342,5.75933500088691e-97,1.81906380874167e-94,210.677136943525,93.7401520665779,"Up"
"RASGEF1C",-3.23402082673304,-1.01290038631657,-27.8159668115452,1.25420489532654e-96,3.90133734864454e-94,209.901184973735,93.4087864946202,"Down"
"KIF4A",3.76288816229741,-0.613627072525403,27.7927922226976,1.56967193306303e-96,4.80975593817673e-94,209.677485778851,93.3178769605061,"Up"
"TRPM3",-2.52279065892153,-0.999610601831139,-27.7867084835966,1.66491800960351e-96,5.0265833437e-94,209.618751216936,93.2987271121921,"Down"
"ANGPTL7",-5.16028353869652,1.01073009040111,-27.7308440561193,2.86022240820498e-96,8.51019797687656e-94,209.079230591898,93.070060336594,"Down"
"COL25A1",-3.17825227366008,0.706522405057541,-27.5989710605378,1.0273684236964e-95,3.01312481978386e-93,207.804320101746,92.5209828771482,"Down"
"ITIH5",-3.96302137534361,1.01358232330135,-27.590443464347,1.11599960479692e-95,3.22696787133531e-93,207.721813981948,92.4912053585413,"Down"
"GSN",-2.4227170099146,0.437244982677471,-27.4594826201836,3.98097615978959e-95,1.13513111889556e-92,206.453775652264,91.944953970256,"Down"
"HSPB2",-2.85787142814986,0.349165132470713,-27.3958156393218,7.3924128926747e-95,2.07898954365221e-92,205.836662067474,91.6821476949617,"Down"
"GPR12",-3.78213796866619,0.83495262408856,-27.3475646422039,1.18200723122374e-94,3.27927141311127e-92,205.368689927344,91.4842226369023,"Down"
"COMP",5.38155041952558,3.40477520520291,27.3135592399737,1.64564963239568e-94,4.50469159374444e-92,205.038735406599,91.3463349369202,"Up"
