gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.998038218902796,2.28473817779409,12.9842759663134,5.59749532272997e-36,7.00774767789126e-35,70.5564048798179
A1CF,-0.114846083079806,-8.19430522666506,-0.51965778902255,0.603406311479217,0.757672816753064,-7.69531266451819
A2M,0.113289389228033,7.52472389993973,1.36419980915965,0.172782796023293,0.263327001316498,-6.90109451763877
A2M-AS1,-0.088979478859651,-0.210016114765089,-1.14424989051691,0.252768111059691,0.367163395678567,-7.17638745322744
A2ML1,-5.84063771607808,-2.28370315947825,-24.7537208180977,5.88872431282778e-108,1.15110346153649e-105,235.606130285599
A3GALT2,-0.877682695465063,-8.35413025424297,-3.87697628710891,0.000112003557885432,0.000277721008197417,-0.370361856463744
A4GALT,0.456876228155541,3.41887699567462,4.70866229770339,2.81042500847106e-06,8.00911788056543e-06,3.13839965454885
A4GNT,0.0509930187308436,-6.1179622182017,0.206657940774372,0.836315123746093,0.983753829702033,-7.80889167469857
AA06,-0.0287147670492605,-9.89917108661435,-0.455346048421601,0.648949863764174,0.80325983646919,-7.72663777816938
AAAS,0.591262658982129,5.06040768844807,14.3265844350059,8.01354202994238e-43,1.32595350435894e-41,86.2183368720255
AADAC,-0.610832471425427,-4.12868104214923,-1.79545226451395,0.0728551470581542,0.121399546632353,-6.22179667356424
AADACL2,-0.273050895291677,-7.91094706537851,-1.13162226830281,0.258039082797465,0.373689953137714,-7.19073076808783
AAMDC,0.495434430078203,5.81942787005968,6.2730699079493,5.07379319190549e-10,1.87157202279241e-09,11.4898468679039
AAMP,0.295262511039002,6.4793915251019,6.30748008103887,4.0963482656733e-10,1.52151612163863e-09,11.6986589038417
AANAT,-1.54684587721283,-5.4591879569773,-5.67349486038085,1.78651799359649e-08,5.95100082389222e-08,8.02324085402411
AAR2,0.359716259435417,4.96331903256782,8.04640536723707,2.18755333887013e-15,1.08664584361961e-14,23.6064744999032
AARD,-1.01723878131897,2.62648314374533,-3.64881922606791,0.000275763919211992,0.000658709971864546,-1.21744628001368
AARS1,-0.603037353341765,5.78915687054351,-9.96229319072751,1.91065171782246e-22,1.33651313647482e-21,39.6537355003028
AARS1P1,-0.0249037996697936,-9.95318203674536,-0.849030037088974,0.396048688980338,0.539277672965926,-7.47015521171202
AARS2,-0.265195498927341,2.45629118283108,-4.31199748593774,1.76251351822276e-05,4.70003604859402e-05,1.38293161232502
AARSD1,0.334432799175016,5.08223994925943,6.60770297500046,6.0603948253934e-11,2.35923404657259e-10,13.5654451682194
AASDH,0.456610330783554,2.59449520676744,7.12244254342345,1.90881349271819e-12,8.10173849020729e-12,16.9518631463221
AASDHPPT,0.241419170240554,4.27776510365652,4.14350119578779,3.68184572924452e-05,9.56625129248388e-05,0.68239754790627
AASS,0.971327879527683,1.69982872425228,10.2254001443786,1.64109632569398e-23,1.20913008202418e-22,42.0831096349729
AATF,0.0763674545764879,5.19671026590457,1.43757642049732,0.150837720798896,0.233357587376448,-6.79855105835385
AATK,0.56367473272526,0.131147952526815,4.7116992511434,2.76967230980025e-06,7.89854029067091e-06,3.15241290856529
ABAT,3.71587105974481,3.19151772746283,30.6626887562538,7.39209472014933e-150,5.5137245459977e-147,331.794882232928
ABCA1,0.380094304358129,2.56075430351754,4.0913132526615,4.60133459240937e-05,0.000118445397954092,0.47091068739994
ABCA10,1.38654661677868,0.0455617689130333,9.53935183768116,8.85289493119873e-21,5.71716687012752e-20,35.8598772607397
ABCA4,-0.137638724902418,-0.625216538563957,-0.796080232879396,0.426156590273783,0.569172669622095,-7.51365455053243
ABCA5,0.469915776377201,3.01243862639843,5.16247704469412,2.88891525134127e-07,8.86088235948674e-07,5.32828194466113
ABCA6,1.34679991425873,1.64440654328336,11.3140674969392,3.70975765622764e-28,3.3919151938102e-27,52.6819867171502
ABCA8,2.03298221827259,1.20994013146939,11.5314458951638,3.9601600977516e-29,3.761621240304e-28,54.9006787856038
ABCA9,1.8618332994687,0.463812707690153,13.1023241364789,1.46299813221188e-36,1.87295479039808e-35,71.8893199841101
ABCB1,1.08998163557391,1.16688905925772,9.64003803534408,3.59658391359564e-21,2.36853100480843e-20,36.7504726798131
ABCB10P3,-0.0873261875540967,-7.48871913022979,-0.352832676903137,0.724281254744729,0.877502623478878,-7.76802942190524
ABCB10P4,0.120389165881401,-7.44521305508572,0.477708311725362,0.632952418583049,0.786583801837861,-7.71621395555189
ABCB11,1.04132440432108,-5.55339337122916,4.2478073469907,2.34064356368625e-05,6.17950830561877e-05,1.11287045458228
ABCB4,0.899726651662409,-0.43450509137573,9.39188637760829,3.26506487572521e-20,2.05733394799318e-19,34.5698313390339
ABCB6,-0.164328155260363,4.16676260186829,-2.11018119727545,0.0350673200538331,0.0625714900601729,-5.60971653722328
ABCB7,0.225183026928164,3.77270346775341,4.4678466015858,8.71448305072821e-06,2.38282179808837e-05,2.05490110590423
ABCB8,0.59714739621987,4.02521146306171,10.9863635839984,1.01585653040884e-26,8.72792891721981e-26,49.4007015866142
ABCB9,-0.0634635567191042,2.14368184863036,-0.724291659705497,0.469040195720226,0.616112489920015,-7.5681634090379
ABCC1,-0.162038931974462,3.6346109773391,-2.46182002538143,0.0139754438816493,0.0270223058449735,-4.81020155792243
ABCC10,-0.522727473561337,3.38452529638347,-9.8918028894963,3.6554813108388e-22,2.52463358368458e-21,39.0118364975572
ABCC11,5.33454146619761,1.55588360561977,21.9166391506851,1.10965829445769e-88,1.08455705855547e-86,191.366978068607
ABCC12,4.89517745169137,-4.42189146148962,14.0888594528042,1.41232066106709e-41,2.2202338778306e-40,83.3656968783379
ABCC2,-0.25949045773048,-1.93864792087728,-1.84746430921484,0.0649473410240727,0.109347634926422,-6.12740417925971
ABCC3,1.14951630123941,2.85970870055556,8.32121613311273,2.54553211631768e-16,1.32678488975558e-15,25.7252107393788
ABCC5,0.816571519566296,4.15272982101596,8.39316761205635,1.43468848452323e-16,7.59947867787823e-16,26.2903159829264
ABCC5-AS1,-0.39821025875465,-9.33023198824186,-2.11310687366414,0.034815624626045,0.0621615158677556,-5.60356741189366
